user_id,date,total_listening_sec,track_count,avg_session_sec,night_ratio
0,2026-02-10,3318.710341945786,9,368.74559354953175,0.0
0,2026-02-11,4321.249092146776,6,720.2081820244626,0.3333333333333333
0,2026-02-12,3939.2388679410665,1,3939.2388679410665,1.0
0,2026-02-13,4493.556595442462,3,1497.8521984808206,0.0
0,2026-02-14,3666.9842000054987,3,1222.3280666684996,0.3333333333333333
0,2026-02-15,2898.7018554546157,6,483.1169759091026,0.16666666666666666
0,2026-02-16,3642.3456059342075,4,910.5864014835519,0.0
0,2026-02-17,3321.10073256511,5,664.220146513022,0.0
0,2026-02-18,3955.9389004922696,2,1977.9694502461348,0.5
0,2026-02-19,3770.056901206487,3,1256.6856337354957,0.3333333333333333
0,2026-02-20,3957.7079400950975,4,989.4269850237744,0.0
0,2026-02-21,3292.64254243266,4,823.160635608165,0.0
0,2026-02-22,3251.3731487762925,4,812.8432871940731,0.25
0,2026-02-23,3391.3667326026293,3,1130.4555775342099,0.0
1,2026-02-10,5970.303128085669,1,5970.303128085669,1.0
1,2026-02-11,5576.236477628233,2,2788.1182388141165,0.0
1,2026-02-12,5856.193477947991,1,5856.193477947991,0.0
1,2026-02-13,6370.212470341596,2,3185.106235170798,0.0
1,2026-02-14,6162.306333800007,4,1540.5765834500019,0.25
1,2026-02-15,5998.086302156299,1,5998.086302156299,0.0
1,2026-02-16,6572.253620867536,1,6572.253620867536,0.0
1,2026-02-17,6087.546736076403,5,1217.5093472152807,0.2
1,2026-02-18,6390.6626132693655,2,3195.3313066346827,0.5
1,2026-02-19,6095.910821974534,1,6095.910821974534,0.0
1,2026-02-20,6845.621366791584,2,3422.810683395792,0.0
1,2026-02-21,6766.01091167751,2,3383.005455838755,0.0
1,2026-02-22,5855.984440392817,4,1463.9961100982043,0.0
1,2026-02-23,5829.997301289377,4,1457.4993253223442,0.0
2,2026-02-10,4596.167049229923,6,766.0278415383204,0.0
2,2026-02-11,5087.412152796289,3,1695.8040509320963,0.3333333333333333
2,2026-02-12,5341.586986247073,1,5341.586986247073,0.0
2,2026-02-13,5101.729415373795,1,5101.729415373795,0.0
2,2026-02-14,5625.034108332531,4,1406.2585270831328,0.0
2,2026-02-15,4567.74366438851,3,1522.5812214628368,0.3333333333333333
2,2026-02-16,4738.904756816071,3,1579.6349189386904,0.0
2,2026-02-17,3772.704402924993,4,943.1761007312482,0.0
2,2026-02-18,4861.646506801632,1,4861.646506801632,0.0
2,2026-02-19,4273.408967065535,5,854.681793413107,0.2
2,2026-02-20,5106.906745697979,3,1702.302248565993,0.0
2,2026-02-21,4510.63094695154,3,1503.5436489838467,0.3333333333333333
2,2026-02-22,5035.4116365609625,4,1258.8529091402406,0.25
2,2026-02-23,5232.9194586535195,2,2616.4597293267598,0.0
3,2026-02-10,3151.0012403900496,3,1050.3337467966833,0.0
3,2026-02-11,3113.090447740476,1,3113.090447740476,0.0
3,2026-02-12,3572.8455012559443,4,893.2113753139861,0.0
3,2026-02-13,3211.193488952247,4,802.7983722380618,0.0
3,2026-02-14,2623.261619862252,1,2623.261619862252,0.0
3,2026-02-15,3410.8847224277233,3,1136.9615741425744,0.0
3,2026-02-16,3632.010455017969,5,726.4020910035938,0.4
3,2026-02-17,3016.288809968674,1,3016.288809968674,1.0
3,2026-02-18,2472.757334014178,4,618.1893335035445,0.0
3,2026-02-19,2258.3868332547736,5,451.6773666509547,0.0
3,2026-02-20,2440.052439167172,1,2440.052439167172,1.0
3,2026-02-21,1902.2116035356835,6,317.03526725594725,0.16666666666666666
3,2026-02-22,2983.559702487835,2,1491.7798512439174,0.0
3,2026-02-23,2090.9239259991405,5,418.18478519982807,0.0
4,2026-02-10,4599.399738507068,2,2299.699869253534,0.0
4,2026-02-11,3519.404522399449,2,1759.7022611997245,0.0
4,2026-02-12,3420.764886558224,2,1710.382443279112,0.0
4,2026-02-13,4077.8312634953454,3,1359.2770878317817,0.0
4,2026-02-14,3567.8312435912962,3,1189.2770811970988,0.0
4,2026-02-15,3299.196593829274,3,1099.7321979430915,0.6666666666666666
4,2026-02-16,3892.309394807394,3,1297.4364649357979,0.0
4,2026-02-17,3420.42044962299,1,3420.42044962299,1.0
4,2026-02-18,3999.3211209154015,2,1999.6605604577007,0.5
4,2026-02-19,3509.3796790430406,2,1754.6898395215203,0.0
4,2026-02-20,4170.548148945755,3,1390.1827163152518,0.0
4,2026-02-21,3220.92304892226,1,3220.92304892226,1.0
4,2026-02-22,4200.444441471032,2,2100.222220735516,0.0
4,2026-02-23,4222.131269048879,2,2111.0656345244397,0.0
